customer,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,state,gender
HI41970,High School or Below,567804.67,68671,70,0,Special Auto,Two-Door Car,8.08,Oregon,F
AU46443,Bachelor,751708.38,0,102,0,Personal Auto,SUV,1179.0,Nevada,F
WC35554,College,453053.07,34640,117,2,Personal Auto,Luxury,466.32,Oregon,M
JR10216,Bachelor,269138.06,21959,71,0,Corporate Auto,Four-Door Car,340.8,California,F
OH11674,Bachelor,806862.39,51584,69,2,Corporate Auto,Two-Door Car,368.92,Arizona,F
US85318,Bachelor,247857.67,65744,62,0,Corporate Auto,Four-Door Car,166.51,Oregon,F
FS19862,Bachelor,911204.15,25198,118,0,Personal Auto,SUV,566.4,Arizona,F
ZP80713,Master,277244.13,79663,69,0,Personal Auto,Two-Door Car,263.96,Arizona,F
OK50159,Bachelor,430579.32,31071,111,2,Personal Auto,Luxury,215.23,Arizona,F
TP54769,Bachelor,510335.76,39452,131,0,Corporate Auto,SUV,398.19,California,F
FS49381,Bachelor,478496.05,25813,61,0,Personal Auto,Four-Door Car,205.33,Oregon,F
DQ79499,Doctor,1054110.98,59965,131,0,Personal Auto,SUV,905.03,Oregon,F
VH31965,Bachelor,528511.87,40783,67,1,Personal Auto,Four-Door Car,321.6,Washington,M
VO25602,College,761084.05,98701,94,0,Personal Auto,Four-Door Car,79.62,Nevada,F
EP93369,College,851052.59,0,121,0,Personal Auto,Luxury,871.2,Arizona,F
DQ45854,College,1617294.05,64388,68,0,Personal Auto,Four-Door Car,12.39,Oregon,F
QG15661,College,242549.48,66841,62,0,Personal Auto,Four-Door Car,123.44,Oregon,M
YA80645,High School or Below,289931.72,33738,74,1,Corporate Auto,Four-Door Car,304.39,Oregon,F
TW16499,Bachelor,363305.4,43334,95,2,Corporate Auto,Two-Door Car,614.37,California,M
UP97629,College,345715.42,0,91,0,Personal Auto,Four-Door Car,245.67,California,F
NU42684,College,339472.03,83431,84,0,Personal Auto,Four-Door Car,403.2,Nevada,F
EM85557,College,802106.71,54292,67,0,Personal Auto,Four-Door Car,321.6,Washington,F
BM69818,Bachelor,584152.81,0,79,0,Personal Auto,Four-Door Car,379.2,Oregon,M
HK15299,High School or Below,547985.42,38210,69,0,Personal Auto,Four-Door Car,383.04,California,M
NP88496,High School or Below,2045524.95,0,67,0,Personal Auto,Four-Door Car,482.4,Nevada,F
SB99002,Bachelor,831912.3,49734,69,0,Corporate Auto,Four-Door Car,154.75,Oregon,F
ZH42145,High School or Below,258286.23,50148,65,0,Corporate Auto,Four-Door Car,323.49,Washington,F
JG30837,College,416379.34,11689,117,0,Corporate Auto,SUV,561.6,Oregon,M
AC22873,High School or Below,485310.03,17120,125,0,Special Auto,SUV,717.29,Arizona,F
RO85831,High School or Below,753169.73,82157,188,0,Corporate Auto,Luxury,1353.6,Oregon,M
NN65845,Bachelor,258593.7,21603,68,2,Personal Auto,Four-Door Car,326.4,Washington,F
RZ27571,Bachelor,269596.39,25544,68,0,Personal Auto,Four-Door Car,326.4,Washington,F
GH31557,High School or Below,268458.16,98121,67,0,Personal Auto,Two-Door Car,383.66,California,M
MK73855,High School or Below,810936.46,32314,68,0,Personal Auto,Four-Door Car,326.4,Washington,F
IO27771,College,903665.76,89382,112,0,Corporate Auto,Four-Door Car,573.99,Oregon,F
HB99061,High School or Below,535218.7,97742,132,0,Corporate Auto,SUV,199.59,Arizona,F
HQ82089,High School or Below,1188096.62,0,114,0,Personal Auto,Four-Door Car,820.8,Arizona,F
JN72184,College,255709.43,0,73,0,Corporate Auto,Four-Door Car,525.6,Oregon,M
WQ46946,College,791482.31,77153,99,1,Personal Auto,Four-Door Car,355.64,California,F
WJ44028,Master,984008.26,94590,81,0,Personal Auto,Two-Door Car,388.8,California,M
WH77063,High School or Below,435155.05,74163,108,0,Personal Auto,Four-Door Car,518.4,Arizona,F
FI13966,High School or Below,2220782.62,40450,287,3,Personal Auto,Luxury,1377.6,Oregon,F
AQ46199,High School or Below,482525.86,0,71,0,Personal Auto,Two-Door Car,511.2,Oregon,M
WV69362,High School or Below,694783.88,0,99,0,Corporate Auto,Two-Door Car,475.2,Arizona,F
RJ90816,College,334480.95,33243,85,0,Personal Auto,Four-Door Car,24.56,California,F
NH19236,Master,235750.31,0,64,0,Personal Auto,Four-Door Car,199.79,Arizona,M
VW88911,High School or Below,3594471.05,0,114,0,Corporate Auto,Four-Door Car,820.8,Oregon,M
NV14535,High School or Below,1040896.87,20228,101,1,Personal Auto,SUV,523.82,Nevada,M
BM66931,High School or Below,404816.13,92801,100,0,Personal Auto,SUV,407.05,Arizona,F
JW24035,College,685200.19,0,69,1,Personal Auto,Four-Door Car,407.0,Oregon,M
PG82270,College,290302.42,36845,74,0,Personal Auto,Four-Door Car,355.2,California,M
RW65101,College,1803911.42,0,63,0,Personal Auto,Four-Door Car,503.2,California,F
QO79771,Master,324204.39,72330,81,2,Personal Auto,Four-Door Car,126.51,California,F
EC44438,Bachelor,246762.08,19352,65,0,Personal Auto,Four-Door Car,724.46,Nevada,F
MW54213,College,567438.34,0,62,5,Personal Auto,Four-Door Car,297.6,Arizona,M
ZN33412,College,863435.6,25073,79,0,Personal Auto,Four-Door Car,379.2,Arizona,F
HZ56678,High School or Below,278019.69,20261,72,0,Personal Auto,Four-Door Car,345.6,Oregon,F
AN36757,Master,2205600.5,66851,92,2,Personal Auto,Four-Door Car,408.55,Oregon,M
NB54665,High School or Below,251459.2,43860,65,0,Corporate Auto,Four-Door Car,156.12,Arizona,F
MG99229,College,588622.11,0,180,0,Corporate Auto,Luxury,1777.47,Oregon,M
MX76292,Doctor,770603.63,48019,64,0,Corporate Auto,Four-Door Car,137.67,California,F
EJ90880,College,279045.82,28786,71,1,Personal Auto,Four-Door Car,345.62,California,M
WO95180,High School or Below,239703.61,22283,65,0,Corporate Auto,Four-Door Car,572.07,California,F
BU53191,Bachelor,883432.28,34133,111,0,Personal Auto,SUV,226.97,Arizona,F
ZK54897,Master,1443567.37,60880,119,0,Personal Auto,Two-Door Car,109.91,Arizona,M
PP48389,Bachelor,687196.66,0,196,2,Personal Auto,Luxury,940.8,California,F
XD29421,High School or Below,1536235.44,48115,192,0,Personal Auto,Luxury,1382.4,Oregon,M
OP26403,College,483479.75,32017,62,2,Personal Auto,Four-Door Car,297.6,California,F
XK15687,High School or Below,1089930.18,58518,136,0,Personal Auto,SUV,323.64,Oregon,F
ED29955,Bachelor,528404.1,61542,67,0,Personal Auto,Four-Door Car,321.6,California,M
QT84720,Bachelor,289172.68,56761,73,1,Corporate Auto,Two-Door Car,85.15,Oregon,F
ZH35315,College,490054.51,22976,66,0,Personal Auto,Four-Door Car,345.95,California,M
EE76374,High School or Below,2084259.63,0,72,0,Personal Auto,Four-Door Car,709.08,Nevada,F
SH51981,College,524605.72,70301,67,0,Personal Auto,Four-Door Car,328.94,Washington,M
BS13111,Bachelor,663083.61,0,66,0,Personal Auto,Four-Door Car,315.95,Arizona,M
JP12645,Bachelor,1203662.05,44428,104,0,Personal Auto,SUV,499.2,Arizona,M
ZF28570,Bachelor,389503.48,52361,102,0,Personal Auto,Four-Door Car,645.95,Nevada,M
UU93074,College,1170106.99,32435,297,0,Personal Auto,Luxury,1767.35,California,M
SZ60450,High School or Below,341910.87,40272,86,0,Personal Auto,Two-Door Car,23.39,California,M
HL63895,Master,730277.51,30492,61,0,Personal Auto,Four-Door Car,171.38,Arizona,M
UD27196,High School or Below,1968540.91,51524,244,0,Personal Auto,Luxury,1171.2,Arizona,M
OU53351,College,248606.49,36635,63,0,Corporate Auto,Four-Door Car,302.4,Arizona,M
SX50964,Bachelor,522432.88,83389,65,0,Corporate Auto,Two-Door Car,209.26,Arizona,F
RP30093,Bachelor,4922143.07,63035,153,0,Personal Auto,SUV,734.4,Oregon,F
BK73302,Bachelor,316788.87,61638,82,2,Corporate Auto,Four-Door Car,544.34,California,M
CS93971,College,780531.29,21073,106,1,Personal Auto,SUV,508.8,Arizona,F
RG13940,College,1319792.89,0,68,3,Personal Auto,Four-Door Car,326.4,California,F
ZG94155,Bachelor,623430.59,0,82,0,Personal Auto,Two-Door Car,192.76,Oregon,M
QN15356,College,753960.06,0,74,0,Personal Auto,Four-Door Car,532.8,Arizona,M
MZ16820,High School or Below,815793.36,86811,102,0,Corporate Auto,Four-Door Car,489.6,Nevada,M
DO98345,High School or Below,1315674.9,72517,82,0,Personal Auto,Two-Door Car,371.46,Oregon,M
PA48777,High School or Below,249125.76,25965,5353,0,Personal Auto,Four-Door Car,329.21,Washington,F
UK76814,Doctor,533938.84,84424,66,0,Personal Auto,Four-Door Car,231.54,Oregon,F
SR30440,College,864917.5,43383,109,0,Personal Auto,SUV,757.59,California,F
XE66367,High School or Below,751913.36,96306,95,1,Special Auto,Four-Door Car,185.36,Oregon,M
SZ70655,College,429300.96,0,61,0,Corporate Auto,Two-Door Car,292.8,California,F
UV54502,High School or Below,253774.45,0,69,0,Personal Auto,Four-Door Car,331.2,Washington,F
DK98861,College,1316033.89,94125,109,0,Personal Auto,SUV,341.68,Arizona,F
JX14364,College,1323554.44,39778,112,0,Personal Auto,SUV,806.4,Oregon,M
LI85491,High School or Below,374457.77,0,101,0,Personal Auto,SUV,727.2,Oregon,F
JY87538,College,2848607.28,91871,102,0,Personal Auto,SUV,346.85,Oregon,F
VE55982,Bachelor,264468.46,54000,66,0,Corporate Auto,Two-Door Car,373.88,Nevada,M
WK99918,Doctor,507328.21,57709,125,0,Personal Auto,SUV,600.0,Oregon,M
XP16538,High School or Below,427258.51,81132,107,0,Corporate Auto,SUV,419.11,Arizona,F
HW42900,College,1100301.65,22926,93,0,Corporate Auto,Four-Door Car,479.93,California,M
JG84729,College,1418164.28,0,72,2,Personal Auto,Four-Door Car,345.6,Arizona,F
XH85336,Bachelor,554803.19,67798,69,0,Personal Auto,Four-Door Car,331.2,Washington,M
ND29059,Bachelor,1107768.59,78011,138,0,Personal Auto,SUV,619.7,Oregon,M
HC76653,College,243568.9,32931,62,0,Personal Auto,Four-Door Car,297.6,Oregon,M
SG73822,Bachelor,874385.22,99517,109,0,Personal Auto,Four-Door Car,239.91,California,F
CB44654,Bachelor,240976.09,59665,62,1,Personal Auto,Two-Door Car,167.14,Arizona,M
MP53505,High School or Below,550001.25,86073,136,0,Corporate Auto,Luxury,333.57,Washington,F
YJ43481,High School or Below,852828.87,91099,107,0,Corporate Auto,SUV,406.43,Arizona,F
TP15362,College,359199.61,28013,91,0,Personal Auto,Four-Door Car,655.2,Oregon,M
YX90754,High School or Below,853982.69,55478,71,0,Personal Auto,Two-Door Car,339.4,Nevada,F
TQ32702,College,699091.78,22568,88,0,Corporate Auto,Four-Door Car,422.4,Nevada,F
TS50305,High School or Below,397938.82,0,112,0,Personal Auto,SUV,806.4,California,F
BY22068,High School or Below,2395037.44,39335,201,0,Corporate Auto,Luxury,964.8,Arizona,M
TJ48439,College,232105.25,0,66,0,Personal Auto,Two-Door Car,508.7,Oregon,F
TE61015,College,508702.05,0,72,0,Personal Auto,Four-Door Car,345.6,Oregon,M
RD89159,College,436293.12,58842,110,0,Personal Auto,Four-Door Car,528.0,Oregon,M
VW86720,Bachelor,745746.81,0,69,0,Personal Auto,Four-Door Car,678.21,Oregon,F
UM76485,College,702775.96,0,102,0,Personal Auto,SUV,489.6,Oregon,M
LS62045,Bachelor,283168.37,70037,70,0,Personal Auto,Four-Door Car,409.99,Oregon,F
ZG84862,High School or Below,421785.79,0,62,0,Personal Auto,Two-Door Car,446.4,Nevada,M
CD76093,College,759629.15,59847,192,0,Corporate Auto,Luxury,921.6,Nevada,M
FO99259,Bachelor,836567.76,26630,118,0,Personal Auto,Four-Door Car,581.08,California,M
KN87338,High School or Below,272639.3,48039,68,0,Personal Auto,Four-Door Car,11.45,Oregon,F
LT89398,High School or Below,342045.22,0,92,0,Personal Auto,Four-Door Car,441.6,California,M
NZ19529,High School or Below,483910.72,0,137,0,Personal Auto,SUV,1227.46,Arizona,M
PR41853,Bachelor,435855.35,0,118,0,Corporate Auto,Luxury,101.83,Arizona,F
ZF40671,Master,1242739.37,15818,107,0,Personal Auto,Two-Door Car,333.89,Washington,F
XR84971,Doctor,2351585.33,36537,85,0,Personal Auto,Four-Door Car,165.31,Oregon,F
BP83941,Master,839632.76,0,115,1,Personal Auto,SUV,552.0,Arizona,F
PY80449,High School or Below,517097.64,53603,132,1,Personal Auto,Luxury,697.27,Arizona,M
ET22260,Doctor,558530.81,0,80,0,Corporate Auto,Four-Door Car,6.28,Nevada,M
OF47250,Doctor,863949.5,92374,107,1,Personal Auto,SUV,220.02,California,F
WB58031,High School or Below,528183.35,39658,66,0,Corporate Auto,Four-Door Car,316.8,California,M
UV80201,Bachelor,838525.23,0,116,0,Personal Auto,Luxury,556.8,Oregon,F
PY10605,Bachelor,463310.13,0,70,0,Personal Auto,Two-Door Car,336.0,Arizona,M
JI82682,High School or Below,248039.27,0,65,0,Personal Auto,Four-Door Car,328.31,California,F
BU14748,High School or Below,361868.69,50755,91,0,Personal Auto,Two-Door Car,436.8,Arizona,M
QK18099,College,537584.28,69050,67,0,Personal Auto,Four-Door Car,334.89,Washington,F
LD26428,Bachelor,489329.15,0,73,0,Corporate Auto,Four-Door Car,680.05,Oregon,M
MY43761,High School or Below,1073768.43,50607,137,0,Personal Auto,SUV,657.6,California,M
WQ89892,College,260781.55,0,70,1,Special Auto,Two-Door Car,336.0,Washington,F
GY55415,Bachelor,1572525.05,0,149,0,Corporate Auto,SUV,1072.8,Nevada,F
IB42395,College,955341.55,0,146,0,Corporate Auto,SUV,1051.2,Nevada,M
ZU74482,College,750745.54,60920,64,0,Personal Auto,Two-Door Car,231.2,Oregon,M
NL74789,Bachelor,732492.82,0,105,0,Special Auto,Two-Door Car,504.0,California,F
YU86594,High School or Below,533303.81,55674,66,0,Personal Auto,Four-Door Car,81.71,Oregon,M
QN37451,College,1276723.06,0,189,0,Corporate Auto,Luxury,2201.33,California,M
GD83998,Bachelor,265933.8,24495,70,0,Personal Auto,Four-Door Car,336.0,Washington,M
IL83479,College,348363.04,42983,86,0,Personal Auto,Four-Door Car,412.8,Oregon,F
EF87528,College,463654.65,26802,66,1,Special Auto,Two-Door Car,316.8,Arizona,M
IV74747,Doctor,1753003.66,0,97,0,Corporate Auto,Four-Door Car,469.23,California,M
JZ81608,High School or Below,697871.98,53808,88,0,Personal Auto,Four-Door Car,189.84,Oregon,M
EO40136,College,291224.84,93403,73,0,Personal Auto,Four-Door Car,295.22,Arizona,F
ZR40902,Bachelor,420927.93,26435,111,1,Corporate Auto,Four-Door Car,1012.25,Oregon,F
PO89542,Bachelor,500980.89,0,68,0,Personal Auto,Four-Door Car,326.4,Oregon,F
FX57380,Bachelor,521751.33,39854,66,0,Personal Auto,Two-Door Car,261.93,California,F
NM22175,College,1149033.62,0,161,0,Personal Auto,SUV,1052.93,Oregon,M
BC97773,Master,286454.4,91368,71,0,Personal Auto,Four-Door Car,395.33,Nevada,F
MN34012,Bachelor,840391.02,0,115,0,Personal Auto,SUV,552.0,Arizona,M
KY29506,College,2039596.88,92850,104,1,Personal Auto,Four-Door Car,499.2,California,F
VU84949,Bachelor,529263.25,0,70,0,Personal Auto,Two-Door Car,336.0,Washington,F
HC20975,Bachelor,1672777.19,30915,72,2,Personal Auto,Four-Door Car,345.6,Arizona,M
IF87079,Master,580112.83,48927,72,0,Personal Auto,Four-Door Car,139.35,Arizona,F
EP18940,Bachelor,947297.38,0,86,0,Personal Auto,Four-Door Car,412.8,Oregon,F
SB44003,College,1048491.54,61108,89,0,Personal Auto,Four-Door Car,49.45,Arizona,F
MK15785,Master,438731.09,48015,110,0,Corporate Auto,Luxury,528.0,Nevada,M
VP89545,College,452288.35,0,61,0,Personal Auto,Four-Door Car,292.8,Arizona,M
HJ58678,College,541815.21,57587,68,0,Personal Auto,Four-Door Car,257.09,Nevada,F
MW80236,Master,,0,70,0,Personal Auto,Four-Door Car,336.0,Washington,M
IA52178,College,1578529.69,81119,196,0,Corporate Auto,SUV,940.8,Arizona,F
WC42895,Bachelor,2211039.8,65724,70,0,Personal Auto,Four-Door Car,14.52,California,F
JP41935,High School or Below,1359619.97,20128,70,2,Personal Auto,Four-Door Car,336.0,Washington,M
YM77369,High School or Below,475612.62,56146,119,0,Corporate Auto,Four-Door Car,401.79,Oregon,M
WV15213,Bachelor,244705.31,84658,62,0,Personal Auto,Four-Door Car,44.78,California,M
GX37592,College,567592.33,33257,72,1,Personal Auto,Four-Door Car,345.6,Nevada,F
VM34210,College,739903.21,0,101,0,Personal Auto,SUV,337.62,Washington,F
YJ59924,College,730843.39,31115,92,0,Personal Auto,Four-Door Car,441.6,Oregon,M
OO35641,College,3287174.78,78487,117,0,Personal Auto,SUV,448.26,Oregon,F
EU54076,Bachelor,522892.01,92472,65,0,Corporate Auto,Four-Door Car,240.22,Oregon,M
QH56750,High School or Below,2070086.45,0,64,0,Personal Auto,Four-Door Car,460.8,Arizona,M
PQ27923,Master,633303.08,71737,79,0,Personal Auto,Two-Door Car,338.8,Washington,M
ES16126,College,433038.6,60475,107,0,Personal Auto,Four-Door Car,513.6,California,M
PG42834,Bachelor,629273.54,26577,79,0,Personal Auto,Four-Door Car,73.72,Arizona,F
OY44814,High School or Below,491788.96,0,71,0,Personal Auto,Two-Door Car,511.2,Arizona,M
JI97190,High School or Below,516581.0,43461,64,0,Personal Auto,Two-Door Car,307.2,California,M
ZK61113,High School or Below,629159.0,0,94,0,Personal Auto,Two-Door Car,676.8,Oregon,M
MU88116,Master,458267.42,69085,113,0,Corporate Auto,Luxury,472.27,Oregon,F
TP61305,High School or Below,606244.16,0,84,0,Personal Auto,Four-Door Car,604.8,California,M
ZY20779,High School or Below,497907.99,0,71,0,Personal Auto,Two-Door Car,340.8,Washington,M
KP65334,College,583056.14,0,77,0,Corporate Auto,Four-Door Car,783.43,California,F
OH15677,High School or Below,374257.91,0,110,1,Personal Auto,Luxury,1272.55,California,M
HB53755,High School or Below,384959.67,0,106,0,Personal Auto,Luxury,763.2,Oregon,F
UF77079,High School or Below,1526581.49,58361,95,0,Personal Auto,Four-Door Car,43.6,Arizona,F
TD20252,College,531780.72,74092,67,0,Personal Auto,Four-Door Car,321.6,Arizona,M
TH68362,College,237480.92,0,64,0,Corporate Auto,Four-Door Car,380.82,California,F
TO34442,College,553286.33,59768,71,1,Personal Auto,Four-Door Car,340.8,Washington,M
MP96373,Master,571978.57,54585,7575,1,Personal Auto,Two-Door Car,340.8,Washington,M
CV72453,High School or Below,451220.44,0,125,0,Corporate Auto,SUV,900.0,Oregon,F
OY92520,Bachelor,726480.39,12075,94,0,Personal Auto,Four-Door Car,451.2,California,F
UY95530,College,865886.38,62464,109,0,Personal Auto,Luxury,400.18,California,M
FB84235,College,549894.07,22520,73,0,Personal Auto,Four-Door Car,350.4,Oregon,M
MJ14480,High School or Below,559938.29,35012,72,0,Personal Auto,Four-Door Car,345.6,Arizona,F
KW81128,College,1522819.87,95140,126,0,Personal Auto,Luxury,45.05,Arizona,F
DQ98402,High School or Below,364483.36,82477,90,0,Corporate Auto,Two-Door Car,432.0,Nevada,F
WN53966,Master,369344.08,85871,92,1,Personal Auto,Four-Door Car,112.63,California,M
QK69627,High School or Below,938816.29,75264,78,0,Personal Auto,Four-Door Car,343.34,Washington,F
QC55306,High School or Below,3116269.33,83170,97,0,Personal Auto,Four-Door Car,344.12,Washington,M
WV79842,High School or Below,928373.78,24314,235,0,Personal Auto,Luxury,1128.0,California,M
DF40318,Master,255122.67,79751,63,0,Corporate Auto,Two-Door Car,392.24,Oregon,M
TN90661,High School or Below,581191.81,83318,72,0,Corporate Auto,Four-Door Car,345.6,Nevada,M
ZU88029,Master,406467.06,26161,109,0,Personal Auto,Luxury,594.44,Oregon,F
TQ88221,Bachelor,284144.31,30473,72,0,Corporate Auto,Four-Door Car,450.08,California,F
KH34667,College,683213.39,50472,87,0,Corporate Auto,Four-Door Car,281.16,Nevada,M
HW54198,Master,520197.14,94186,64,0,Personal Auto,Four-Door Car,135.34,Nevada,M
GZ79662,High School or Below,548458.82,47611,69,0,Corporate Auto,Four-Door Car,593.65,Arizona,M
YA11342,High School or Below,767268.14,0,103,0,Personal Auto,Four-Door Car,518.72,California,M
ZW18871,High School or Below,827248.54,91245,69,0,Corporate Auto,Four-Door Car,19.25,Oregon,M
QZ17137,High School or Below,333067.28,45944,83,0,Personal Auto,Two-Door Car,182.95,Arizona,F
UV53712,College,556245.64,59649,69,1,Personal Auto,Four-Door Car,167.74,California,F
SJ43436,Bachelor,245273.86,52785,61,0,Corporate Auto,Two-Door Car,45.72,Oregon,F
VW46878,High School or Below,792028.29,59648,66,0,Personal Auto,Four-Door Car,316.8,Oregon,F
TW91179,College,386148.63,93272,95,0,Corporate Auto,Four-Door Car,281.11,Oregon,F
LG19551,Bachelor,576478.42,22134,72,0,Corporate Auto,Four-Door Car,445.88,Arizona,M
AI49712,High School or Below,259389.79,0,72,0,Personal Auto,Four-Door Car,345.6,Washington,F
WN14473,Master,288235.06,87798,71,0,Personal Auto,Two-Door Car,204.45,Arizona,M
WH62198,Bachelor,221318.79,0,63,0,Personal Auto,Four-Door Car,305.55,California,M
SP85148,Master,942962.94,43811,117,0,Personal Auto,Luxury,571.14,California,F
FB49203,College,623925.75,0,91,0,Corporate Auto,Two-Door Car,655.2,California,F
FF94341,Bachelor,766880.96,92456,95,0,Special Auto,Four-Door Car,456.0,Nevada,F
TS42594,High School or Below,1377097.62,59207,116,0,Personal Auto,Four-Door Car,556.8,California,F
IL43607,High School or Below,274284.43,64519,69,1,Corporate Auto,Four-Door Car,331.2,California,F
FL85008,High School or Below,1346692.07,11432,119,0,Personal Auto,SUV,571.2,Oregon,F
AN47199,College,885835.2,0,80,0,Personal Auto,Two-Door Car,81.26,Nevada,F
SV28347,High School or Below,848533.0,32607,111,1,Corporate Auto,SUV,532.8,California,M
IC78105,High School or Below,774464.44,26444,196,0,Personal Auto,Luxury,940.8,Arizona,F
RB28630,High School or Below,589490.74,39381,74,1,Personal Auto,Four-Door Car,355.2,Oregon,F
KA32645,College,577068.41,0,83,0,Personal Auto,Four-Door Car,946.35,Nevada,M
QD73891,High School or Below,526111.75,90217,66,1,Personal Auto,Four-Door Car,316.8,Oregon,M
LM58949,High School or Below,240353.95,24248,70,3,Personal Auto,Four-Door Car,336.0,Oregon,M
YG40323,Bachelor,912460.0,99368,113,0,Personal Auto,Four-Door Car,82.43,Arizona,M
EP82214,High School or Below,2618080.53,68189,82,1,Special Auto,Four-Door Car,343.12,Arizona,F
EO91797,Master,1564125.86,32370,130,0,Corporate Auto,SUV,487.74,Nevada,F
RU50098,Master,257402.04,34990,65,0,Personal Auto,Four-Door Car,42.69,Arizona,F
QW10541,High School or Below,531983.87,25714,67,0,Personal Auto,Two-Door Car,321.6,California,F
SB50826,College,749600.66,61091,95,0,Personal Auto,Two-Door Car,409.87,Oregon,M
XX29952,College,1217458.96,88184,104,3,Personal Auto,Four-Door Car,240.18,Arizona,M
AT93647,College,260557.08,60252,65,0,Personal Auto,Four-Door Car,182.44,California,F
QP56563,College,270720.85,80985,67,0,Personal Auto,Four-Door Car,124.93,Oregon,M
UF88986,College,279490.75,39783,72,0,Personal Auto,Two-Door Car,345.6,Washington,F
TY43440,High School or Below,881901.89,99845,110,1,Personal Auto,SUV,528.0,California,M
NJ15094,Bachelor,534599.46,0,72,0,Personal Auto,Four-Door Car,345.6,Washington,F
MM45334,College,816951.4,40803,71,3,Personal Auto,Four-Door Car,122.91,Oregon,F
KH93988,College,770888.39,71134,98,3,Personal Auto,Two-Door Car,196.37,Oregon,F
RY38931,Bachelor,552821.28,36088,72,0,Personal Auto,Four-Door Car,345.6,Arizona,M
CV48634,College,1212844.67,29431,103,0,Personal Auto,SUV,237.9,Nevada,M
TN76120,Bachelor,552821.28,36088,72,0,Personal Auto,Four-Door Car,345.6,Washington,M
ZS96174,College,679684.48,17937,65,0,Personal Auto,Two-Door Car,312.0,Oregon,M
MI62456,Bachelor,286731.22,23376,78,0,Personal Auto,Four-Door Car,374.4,Arizona,F
DD44177,Doctor,239557.0,21986,63,0,Personal Auto,Two-Door Car,333.7,California,F
NX31380,Bachelor,709416.77,23032,89,0,Corporate Auto,Four-Door Car,427.2,Arizona,F
KQ43374,College,412809.13,32114,104,0,Corporate Auto,SUV,445.29,Oregon,F
XA54112,Bachelor,404693.61,13330,117,0,Corporate Auto,SUV,561.6,California,M
QB14087,College,486928.28,44934,61,0,Personal Auto,Four-Door Car,357.93,California,F
FV42881,College,290215.19,96137,73,2,Corporate Auto,Two-Door Car,67.49,Oregon,F
AV76907,College,428294.8,40864,109,1,Personal Auto,SUV,166.94,Oregon,F
VM85555,College,775012.03,22668,67,1,Personal Auto,Four-Door Car,33.72,California,F
ZU88113,College,662717.46,90751,82,1,Personal Auto,Two-Door Car,315.83,Oregon,M
SZ75668,College,747460.58,44186,64,2,Personal Auto,Four-Door Car,295.05,Oregon,M
MZ65087,College,556129.14,92678,70,0,Personal Auto,Four-Door Car,34.69,Oregon,M
EL61402,Bachelor,609846.21,74257,76,0,Personal Auto,Four-Door Car,214.59,Arizona,F
CJ31839,Bachelor,285952.89,99981,71,0,Special Auto,Four-Door Car,204.87,California,M
XM11175,College,599442.46,0,91,0,Personal Auto,Four-Door Car,655.2,Arizona,M
LF41085,College,563524.95,19591,74,0,Personal Auto,Two-Door Car,95.93,Arizona,F
MB19556,College,506720.83,29095,127,0,Personal Auto,SUV,664.28,California,F
HC74532,Bachelor,226328.46,0,62,0,Corporate Auto,Four-Door Car,389.75,Oregon,F
SB66770,Master,1443567.37,60880,119,0,Corporate Auto,Two-Door Car,109.91,Arizona,M
JI25066,Bachelor,492839.71,61785,61,0,Personal Auto,Two-Door Car,271.11,Arizona,F
PY98958,Bachelor,1203662.05,44428,104,0,Special Auto,SUV,499.2,Oregon,M
RA65645,High School or Below,856476.82,95697,107,0,Personal Auto,Luxury,178.01,California,M
FQ79356,Bachelor,236188.39,18064,63,2,Personal Auto,Four-Door Car,182.96,California,F
TM25808,High School or Below,556569.33,74720,70,0,Personal Auto,Two-Door Car,200.81,California,M
XO46388,Bachelor,514680.98,22594,67,0,Personal Auto,Four-Door Car,321.6,California,F
LB81265,Bachelor,293808.03,40987,73,0,Personal Auto,Four-Door Car,329.01,Arizona,F
JR38787,High School or Below,1443274.64,24561,126,0,Personal Auto,SUV,853.47,Nevada,M
KZ22690,College,1302741.98,76456,83,1,Personal Auto,Four-Door Car,42.69,California,F
NY49598,College,245198.88,65828,62,0,Personal Auto,Four-Door Car,297.6,California,M
KY39767,College,466198.41,0,68,1,Personal Auto,Four-Door Car,489.6,Oregon,F
YU35386,Bachelor,560001.02,63621,70,0,Personal Auto,Four-Door Car,444.62,Arizona,F
TF82172,College,401613.28,10074,107,0,Corporate Auto,SUV,109.0,Arizona,M
ER40041,College,2219580.3,78965,183,0,Personal Auto,Luxury,145.59,Oregon,F
MS39869,College,734335.37,0,68,0,Personal Auto,Four-Door Car,479.03,Nevada,F
PV77906,Bachelor,480451.43,23604,64,0,Corporate Auto,Two-Door Car,460.8,Arizona,M
QF21045,College,273553.89,99205,68,0,Personal Auto,Two-Door Car,323.25,Oregon,F
HF65914,College,694097.28,0,92,0,Personal Auto,Two-Door Car,441.6,Arizona,M
AJ58038,Bachelor,239621.93,0,66,2,Corporate Auto,Four-Door Car,433.16,California,F
ZR88383,College,538089.86,55350,67,0,Personal Auto,Four-Door Car,321.6,Nevada,F
OT49339,College,843281.57,21052,111,0,Corporate Auto,SUV,453.58,Oregon,M
FI74985,High School or Below,755650.75,0,69,0,Personal Auto,Four-Door Car,496.8,Oregon,F
